date,R_M,R_A,Lambda,Omega,Lambda_chained,method_version
2026-08-16,0.06587,15.4088,233.93,,233.93,0.1
2026-08-17,0.065614,14.7051,224.12,5.7416,224.12,0.1
2026-08-18,0.064936,16.1883,249.3,5.752,249.3,0.1
2026-08-19,0.064349,16.1883,251.57,5.7611,251.57,0.1
2026-08-20,0.071155,15.6699,220.22,5.6606,220.22,0.1
2026-08-21,0.077712,15.8235,203.62,5.5724,203.62,0.1
2026-08-22,0.081129,14.7983,182.4,5.5294,182.4,0.1
2026-08-23,0.080158,14.6847,183.2,5.5414,183.2,0.1
2026-08-24,0.081666,14.7859,181.05,5.5228,181.05,0.1
2026-08-25,0.086372,15.0462,174.2,5.4668,174.2,0.1
2026-08-26,0.086682,15.0462,173.58,5.4632,173.58,0.1
2026-08-27,0.085415,15.1227,177.05,5.4779,177.05,0.1
2026-08-28,0.08423,15.1227,179.54,5.4919,179.54,0.1
2026-08-29,0.082195,16.6286,202.31,5.5163,202.31,0.1
2026-08-30,0.08179,16.4437,201.05,5.5213,201.05,0.1
2026-08-31,0.080861,17.511,216.56,5.5327,216.56,0.1
2026-09-01,0.080366,17.511,217.89,5.5388,217.89,0.1
2026-09-02,0.079084,16.9756,214.65,5.5549,214.65,0.1
2026-09-03,0.080982,16.9756,209.62,5.5312,209.62,0.1
